Unnamed: 0,cmtFileName,Number of Nodes,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,Real number of trucks,qpu_access_time,run_time
59,CMT04.xml,151,12,0.3,2,2807.4114186872803,2.7298296597569864,54.70468878746033,16,85.346,5074.138
60,CMT05.xml,200,17,1.0,0,9608.407976530198,7.440937339040957,2373.912323474884,22,383.846,253959.343
61,CMT05.xml,200,17,0.9,0,8734.52357030312,6.764184319791155,1772.5772633552551,25,469.168,210774.156
62,CMT05.xml,200,17,0.7,0,7022.681038867063,5.438500289529899,855.9005517959595,24,170.616,114289.947
63,CMT05.xml,200,17,0.5,0,5448.550411732424,4.219463026688369,355.7159435749054,22,127.949,38941.359
64,CMT05.xml,200,17,0.3,0,3812.223346137208,2.9522596365938005,115.3043727874756,24,85.351,8401.852
65,CMT05.xml,200,17,1.0,1,9608.407976530198,7.440937339040957,2382.483785867691,24,426.49,254120.894
66,CMT05.xml,200,17,1.0,2,9608.407976530198,7.440937339040957,2324.231882095337,22,426.489,253385.035
67,CMT05.xml,200,17,0.9,2,8734.52357030312,6.764184319791155,1733.3960275650024,24,511.778,210735.192
68,CMT05.xml,200,17,0.9,1,8734.52357030312,6.764184319791155,1720.5538148880005,22,426.476,211631.474
69,CMT05.xml,200,17,0.7,1,7022.681038867063,5.438500289529899,830.2867472171783,22,170.59,114472.587
70,CMT05.xml,200,17,0.7,2,7022.681038867063,5.438500289529899,839.471782207489,23,170.587,114259.407
71,CMT05.xml,200,17,0.5,1,5448.550411732424,4.219463026688369,330.7741560935974,24,127.953,38910.749
72,CMT05.xml,200,17,0.5,2,5448.550411732424,4.219463026688369,329.9987432956696,23,170.594,38949.066
73,CMT05.xml,200,17,0.3,1,3812.223346137208,2.9522596365938005,117.73331212997437,22,85.347,8515.391
74,CMT05.xml,200,17,0.3,2,3812.223346137208,2.9522596365938005,117.09992003440856,22,85.349,8593.254
75,CMT11.xml,121,7,1.0,0,12239.313868857094,11.74463005110457,519.3726081848145,12,213.235,75135.914
76,CMT11.xml,121,7,0.9,0,10844.677060013491,10.406361129249504,372.4150478839874,11,255.89,51600.968
77,CMT11.xml,121,7,0.7,0,8094.421291432615,7.767264126427491,181.04844880104065,12,127.942,24183.286
78,CMT11.xml,121,7,0.5,0,5754.267906418941,5.521694148868596,78.17074155807495,10,42.669,8594.439
79,CMT11.xml,121,7,0.3,0,3492.140785612556,3.3509968003805284,32.91461372375488,10,42.653,3457.153
80,CMT11.xml,121,7,1.0,1,12239.313868857094,11.74463005110457,526.133367061615,10,213.244,75117.929
81,CMT11.xml,121,7,1.0,2,12239.313868857094,11.74463005110457,522.9041292667389,10,170.599,75029.47
82,CMT11.xml,121,7,0.9,1,10844.677060013491,10.406361129249504,370.03589487075806,10,255.905,51573.708
83,CMT11.xml,121,7,0.9,2,10844.677060013491,10.406361129249504,369.5507128238678,11,255.902,51581.954
84,CMT11.xml,121,7,0.7,1,8094.421291432615,7.767264126427491,183.071180343628,10,127.943,24195.605
85,CMT11.xml,121,7,0.7,2,8094.421291432615,7.767264126427491,182.94957613945007,9,127.953,24195.662
86,CMT11.xml,121,7,0.5,1,5754.267906418941,5.521694148868596,78.61608576774597,10,85.346,8594.962
87,CMT11.xml,121,7,0.5,2,5754.267906418941,5.521694148868596,80.50192093849182,10,85.346,8491.82
88,CMT11.xml,121,7,0.3,1,3492.140785612556,3.3509968003805284,35.13711190223694,10,42.669,3457.952
