Number of Nodes,Number of trucks,Coarsening Ratio,Run Number,Cost Evaluation,Solve Time,Cost Evaluation (duplicate),Solve Time (duplicate)
50,2,0.9,11,6.253866476,7.621583223,6.253866476,7.621583223
,,,,,,,
50,2,0.9,12,6.352774402,602.2871511,6.352774402,602.2871511
,,,,,,,
50,2,0.9,13,6.711312526,602.7767973,6.711312526,602.7767973
,,,,,,,
50,2,0.9,14,5.784720371,30.60804415,5.784720371,30.60804415
,,,,,,,
50,2,0.9,15,5.392075051,601.4099059,5.392075051,601.4099059
,,,,,,,
50,2,0.9,16,6.593751887,603.009624,6.593751887,603.009624
,,,,,,,
50,2,0.9,17,6.525828349,602.3046222,6.525828349,602.3046222
,,,,,,,
50,2,0.9,18,5.90366979,139.6463885,5.90366979,139.6463885
,,,,,,,
50,2,0.9,19,6.362312547,600.8717206,6.362312547,600.8717206
,,,,,,,
50,2,0.7,0,6.300031266,603.2030642,6.300031266,603.2030642
,,,,,,,
50,2,0.7,1,6.547056356,601.7695844,6.547056356,601.7695844
,,,,,,,
50,2,0.7,2,6.051781148,292.6181104,6.051781148,292.6181104
,,,,,,,
50,2,0.7,3,6.050247461,602.6450462,6.050247461,602.6450462
,,,,,,,
50,2,0.7,4,6.856810708,603.3941259,6.856810708,603.3941259
,,,,,,,
50,2,0.7,5,6.527998964,602.9934149,6.527998964,602.9934149
,,,,,,,
50,2,0.7,6,6.462808242,14.42195868,6.462808242,14.42195868
,,,,,,,
50,2,0.7,7,6.016855843,601.4538696,6.016855843,601.4538696
,,,,,,,
50,2,0.7,8,6.515481127,602.1289699,6.515481127,602.1289699
,,,,,,,
50,2,0.7,9,6.013699148,11.59502983,6.013699148,11.59502983
,,,,,,,
50,2,0.7,10,6.100906845,45.46589756,6.100906845,45.46589756
,,,,,,,
50,2,0.7,11,6.254147432,4.498200178,6.254147432,4.498200178
,,,,,,,
50,2,0.7,12,6.430628811,602.6399362,6.430628811,602.6399362
,,,,,,,
50,2,0.7,13,6.865826431,603.5053606,6.865826431,603.5053606
,,,,,,,
50,2,0.7,14,5.894654619,23.95407701,5.894654619,23.95407701
,,,,,,,
50,2,0.7,15,5.51168617,47.83293939,5.51168617,47.83293939
,,,,,,,
50,2,0.7,16,6.418665951,601.8525841,6.418665951,601.8525841
,,,,,,,
50,2,0.7,17,6.363962216,601.9930336,6.363962216,601.9930336
,,,,,,,
50,2,0.7,18,5.982037609,18.16198921,5.982037609,18.16198921
,,,,,,,
50,2,0.7,19,6.455919557,602.8745217,6.455919557,602.8745217
,,,,,,,
50,2,0.5,0,6.545469487,602.0118823,6.545469487,602.0118823
,,,,,,,
50,2,0.5,1,6.552706623,124.0525231,6.552706623,124.0525231
,,,,,,,
50,2,0.5,2,6.051781148,4.288142443,6.051781148,4.288142443
,,,,,,,
50,2,0.5,3,6.055975845,19.21401048,6.055975845,19.21401048
,,,,,,,
50,2,0.5,4,6.888251191,48.21247411,6.888251191,48.21247411
,,,,,,,
50,2,0.5,5,6.713965942,15.92847967,6.713965942,15.92847967
,,,,,,,
50,2,0.5,6,6.666331763,3.238920212,6.666331763,3.238920212
,,,,,,,
50,2,0.5,7,6.283810614,27.28098059,6.283810614,27.28098059
,,,,,,,
50,2,0.5,8,6.864285499,267.471046,6.864285499,267.471046
,,,,,,,
50,2,0.5,9,6.030999003,3.595183134,6.030999003,3.595183134
,,,,,,,
50,2,0.5,10,6.12647444,4.228769064,6.12647444,4.228769064
,,,,,,,
50,2,0.5,11,6.516614924,3.611596107,6.516614924,3.611596107
,,,,,,,
50,2,0.5,12,6.351626184,260.0222816,6.351626184,260.0222816
,,,,,,,
50,2,0.5,13,6.958261529,572.3878267,6.958261529,572.3878267
,,,,,,,
50,2,0.5,14,6.084117188,4.51982069,6.084117188,4.51982069
,,,,,,,
50,2,0.5,15,5.51168617,1.321143866,5.51168617,1.321143866
,,,,,,,
50,2,0.5,16,6.73669591,119.5564463,6.73669591,119.5564463
,,,,,,,
50,2,0.5,17,6.470502357,78.55711436,6.470502357,78.55711436
,,,,,,,
50,2,0.5,18,6.066679246,2.077464104,6.066679246,2.077464104
,,,,,,,
50,2,0.5,19,6.455919557,195.987668,6.455919557,195.987668
,,,,,,,
50,2,0.3,0,6.56720239,2.334762096,6.56720239,2.334762096
,,,,,,,
50,2,0.3,1,6.758122739,1.744006157,6.758122739,1.744006157
,,,,,,,
50,2,0.3,2,6.42190582,1.007593155,6.42190582,1.007593155
,,,,,,,
50,2,0.3,3,6.164635646,1.409516335,6.164635646,1.409516335
,,,,,,,
50,2,0.3,4,7.220132969,1.967187881,7.220132969,1.967187881
,,,,,,,
50,2,0.3,5,6.793199424,1.186496258,6.793199424,1.186496258
,,,,,,,
50,2,0.3,6,7.070442117,1.017517328,7.070442117,1.017517328
,,,,,,,
50,2,0.3,7,6.372075788,1.478587866,6.372075788,1.478587866
,,,,,,,
50,2,0.3,8,7.222095933,2.440784693,7.222095933,2.440784693
,,,,,,,
50,2,0.3,9,6.360683115,1.178570747,6.360683115,1.178570747
,,,,,,,
50,2,0.3,10,6.484935623,1.051092148,6.484935623,1.051092148
,,,,,,,
50,2,0.3,11,6.961399648,1.048711061,6.961399648,1.048711061
,,,,,,,
50,2,0.3,12,6.572390038,2.181967735,6.572390038,2.181967735
,,,,,,,
50,2,0.3,13,7.246519772,1.985343933,7.246519772,1.985343933
,,,,,,,
50,2,0.3,14,6.159533403,0.90430069,6.159533403,0.90430069
,,,,,,,
50,2,0.3,15,5.837858768,1.070493221,5.837858768,1.070493221
,,,,,,,
50,2,0.3,16,7.561142128,1.865119219,7.561142128,1.865119219
,,,,,,,
50,2,0.3,17,7.332691964,2.542580605,7.332691964,2.542580605
,,,,,,,
50,2,0.3,18,6.183670411,0.979072332,6.183670411,0.979072332
,,,,,,,
50,2,0.3,19,7.077910388,14.39186621,7.077910388,14.39186621
