,cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
79,CMT05.xml,17,0.7,0,1460.080223469203,1.130714420052198,3032.986542224884
80,CMT05.xml,17,0.7,1,1460.080223469203,1.130714420052198,3033.6091730594635
42,CMT05.xml,17,0.7,2,1460.080223469203,1.130714420052198,3034.114534139633
77,CMT05.xml,17,0.9,0,4095.5086578210858,3.1716412717678337,3016.941632270813
78,CMT05.xml,17,0.9,1,4095.5086578210858,3.1716412717678337,3016.61411356926
41,CMT05.xml,17,0.9,2,4095.5086578210858,3.1716412717678337,3016.884702682495
75,CMT05.xml,17,1.0,0,1589.9434694076838,1.2312830343359615,3004.7299365997314
76,CMT05.xml,17,1.0,1,1589.9434694076838,1.2312830343359615,3004.6263525485992
40,CMT05.xml,17,1.0,2,1589.9434694076838,1.2312830343359615,3004.878357887268
93,CMT11.xml,7,0.3,0,1097.7206271147531,1.053353382638039,3012.540916442871
94,CMT11.xml,7,0.3,1,1097.7206271147531,1.053353382638039,3012.3595991134644
49,CMT11.xml,7,0.3,2,1097.7206271147531,1.053353382638039,3012.1193885803223
91,CMT11.xml,7,0.5,0,1079.2098201513932,1.0355907382560483,3011.136324167252
92,CMT11.xml,7,0.5,1,1079.2098201513932,1.0355907382560483,3010.5761682987213
48,CMT11.xml,7,0.5,2,1079.2098201513932,1.0355907382560483,3010.619261741638
89,CMT11.xml,7,0.7,0,1072.045696858916,1.0287161717066329,3007.99953174591
90,CMT11.xml,7,0.7,1,1072.045696858916,1.0287161717066329,3008.114297389984
47,CMT11.xml,7,0.7,2,1072.045696858916,1.0287161717066329,3008.284002542496
87,CMT11.xml,7,0.9,0,0.0,0.0,
88,CMT11.xml,7,0.9,1,0.0,0.0,
46,CMT11.xml,7,0.9,2,0.0,0.0,
85,CMT11.xml,7,1.0,0,1083.8445285658397,1.0400381228321496,3001.7354824543
86,CMT11.xml,7,1.0,1,1083.8445285658397,1.0400381228321496,3001.6320312023163
45,CMT11.xml,7,1.0,2,1083.8445285658397,1.0400381228321496,3001.9338870048523
103,CMT12.xml,10,0.3,0,856.9887985887416,1.0456693818497018,124.78799629211426
104,CMT12.xml,10,0.3,1,856.9887985887416,1.0456693818497018,125.34611344337463
54,CMT12.xml,10,0.3,2,856.9887985887416,1.0456693818497018,126.08327889442444
101,CMT12.xml,10,0.5,0,842.8361705514238,1.0284008133039972,3008.175504922867
102,CMT12.xml,10,0.5,1,842.8361705514238,1.0284008133039972,3008.0868697166443
53,CMT12.xml,10,0.5,2,842.8361705514238,1.0284008133039972,3008.3858711719517
99,CMT12.xml,10,0.7,0,835.3992896286641,1.0193265772227342,3005.9410758018494
100,CMT12.xml,10,0.7,1,835.3992896286641,1.0193265772227342,3005.948340654373
52,CMT12.xml,10,0.7,2,835.3992896286641,1.0193265772227342,3005.757491827011
97,CMT12.xml,10,0.9,0,831.0465171427326,1.0140154682301876,3003.7443437576294
98,CMT12.xml,10,0.9,1,831.0465171427326,1.0140154682301876,3003.7815940380096
51,CMT12.xml,10,0.9,2,831.0465171427326,1.0140154682301876,3003.617275953293
95,CMT12.xml,10,1.0,0,827.1402944086112,1.0092492244724136,3001.9154374599457
96,CMT12.xml,10,1.0,1,827.1402944086112,1.0092492244724136,3001.705725669861
50,CMT12.xml,10,1.0,2,827.1402944086112,1.0092492244724136,3001.968893289566
